Date,Price,Strong_Verdict,Trade_Allowed,Raw_Verdict,Signals_Agree,Trend_OK,ATR,Signal_Confidence,CE_Score,CE_Confidence,TTS_Score,Final_Score,SIV_Signal,Risk_Penalty,Final_Verdict,Market_Reality,Correct
04/01/2019,111.401,False,False,HOLD,False,True,0.6457900588511943,0.06499999926732555,0.07,0.52,-0.0599999985346511,0.005491000000000007,PARTIAL,0.2,HOLD,NEUTRAL,True
04/02/2019,111.331,,,,,,0.5912847176710344,,0.0372,,-0.05999997349941261,0.0,COHERENT,,SKIP,NEUTRAL,
04/03/2019,111.465,,,,,,0.5656467553148947,,-0.3477,,0.3,0.0,PARTIAL,,SKIP,NEUTRAL,
04/04/2019,111.636,,,,,,0.5400938546062415,,-0.1217,,0.059999998990754394,0.0,PARTIAL,,SKIP,BEARISH,
04/05/2019,111.73,,,,,,0.5078146739920762,,0.2248,,0.05999999925022656,0.0,PARTIAL,,SKIP,BEARISH,
04/08/2019,111.473,False,False,BUY,True,True,0.5043727174597993,0.10754999958054529,0.1551,1.0,0.05999999916109058,0.11572424999999997,PARTIAL,0.2,HOLD,BEARISH,False
04/09/2019,111.132,False,False,BUY,True,True,0.5209896884651581,0.08224999924463848,0.1045,1.0,0.059999998489276965,0.08447874999999999,PARTIAL,0.2,HOLD,BULLISH,False
04/10/2019,110.949,False,False,BUY,True,True,0.5143243966698042,0.14489999395779718,0.2298,0.4,0.05999998791559434,0.13281569999999998,PARTIAL,0.2,HOLD,BULLISH,False
04/11/2019,111.625,,,,,,0.55321447711383,,0.3689,,0.059999997599764876,0.0,PARTIAL,,SKIP,NEUTRAL,
04/12/2019,112.02,,,,,,0.5522525468319869,,-0.2738,,0.05999999900542665,0.0,PARTIAL,,SKIP,NEUTRAL,
04/15/2019,111.989,,,,,,0.5102188739210546,,0.416,,0.0599999992112467,0.0,PARTIAL,,SKIP,NEUTRAL,
04/16/2019,111.985,False,False,BUY,True,True,0.47365635739824785,0.12064999962620863,0.1813,0.56,0.05999999925241729,0.11669173,PARTIAL,0.2,HOLD,NEUTRAL,True
04/17/2019,112.036,,,,,,0.4473021764118143,,-0.0076,,0.05999999925293531,0.0,COHERENT,,SKIP,NEUTRAL,
04/18/2019,111.978,False,False,HOLD,False,True,0.43192855289023824,0.07329999957529348,-0.0866,0.68,0.059999999150586986,-0.020155580000000006,PARTIAL,0.2,HOLD,NEUTRAL,True
04/19/2019,111.91,False,False,HOLD,False,True,0.39460474583820665,0.05699999945022115,-0.054,0.84,0.059999998900442296,-0.008196599999999993,PARTIAL,0.2,HOLD,NEUTRAL,True
04/22/2019,111.936,False,False,HOLD,False,True,0.3582574463931124,0.10214999927198759,-0.1443,0.4,0.059999998543975155,-0.034219950000000006,PARTIAL,0.2,HOLD,BEARISH,False
04/23/2019,111.871,False,False,BUY,True,True,0.3630231202073648,0.09619999876779207,0.1324,0.8,0.05999999753558416,0.09758019999999998,PARTIAL,0.2,HOLD,BULLISH,False
04/24/2019,112.097,False,False,BUY,True,True,0.4147533708463816,0.1265499987848946,0.1931,0.84,0.05999999756978919,0.13311989,PARTIAL,0.2,HOLD,BEARISH,False
04/25/2019,111.574,False,False,HOLD,False,True,0.47678625473353015,0.25,0.2,1.0,-0.3,0.02124999999999996,PARTIAL,0.5,HOLD,NEUTRAL,True
04/26/2019,111.59,False,False,BUY,False,True,0.4973480874357262,0.1485999991597151,0.2372,1.0,-0.0599999983194302,0.12652099999999997,PARTIAL,0.2,HOLD,BEARISH,False
04/29/2019,111.664,,,,,,0.4775683424442966,,0.36,,-0.059999998698771,0.0,PARTIAL,,SKIP,BEARISH,
04/30/2019,111.449,,,,,,0.47922589678505634,,0.0,,-0.05999999909111728,0.0,COHERENT,,SKIP,NEUTRAL,
05/01/2019,111.389,,,,,,0.49452911054704995,,0.2686,,-0.059999999257303836,0.0,PARTIAL,,SKIP,BEARISH,
05/02/2019,111.526,,,,,,0.4720585624741091,,-0.046,,-0.05999999923867894,0.0,COHERENT,,SKIP,BEARISH,
05/03/2019,111.11,,,,,,0.4969840874775602,,-0.1091,,-0.05999999940916884,0.0,PARTIAL,,SKIP,BEARISH,
05/06/2019,110.78,,,,,,0.5427195424805527,,-0.0193,,-0.014783975025647017,0.0,COHERENT,,SKIP,BEARISH,
