Date,Price,Sentiment,CE_Confidence,Articles,Tech_Decision,Tech_Score,EMA_Trend,RSI,EMA200_Reliable,TTS_Insufficient,SIV_Signal,SIV_Conflict,Final_Verdict,Weighted_Score,Risk_Multiplier,Verdict_Reasoning,Market_Reality,Alignment
04/02/2018,105.833,BULLISH,MODERATE,10,HOLD,-0.0784,BEARISH,45.18,False,True,PARTIAL,SENTIMENT_ONLY,BUY,0.6,0.255,Mixed signals and low confidence.,BULLISH,correct
04/03/2018,106.504,BULLISH,MODERATE,12,HOLD,-0.0317,BEARISH,50.83,False,True,PARTIAL,SENTIMENT_ONLY,BUY,0.6,0.255,Mixed signals and low EMA reliability.,BULLISH,correct
04/04/2018,106.78,BEARISH,MODERATE,10,HOLD,-0.0232,BEARISH,52.97,False,True,PARTIAL,SENTIMENT_ONLY,SELL,-0.6,0.255,Mixed signals and low EMA reliability.,BULLISH,incorrect
04/05/2018,107.15,NEUTRAL,MODERATE,18,HOLD,-0.012,BEARISH,55.76,False,True,COHERENT,NO_SIGNAL,HOLD,0.0,0.2,Weak combined CE/TTS signal.,BEARISH,neutral
04/06/2018,106.892,BULLISH,HIGH,35,HOLD,-0.0225,BEARISH,53.39,False,True,PARTIAL,SENTIMENT_ONLY,BUY,0.6,0.255,Mixed signals and low EMA reliability.,BULLISH,correct
04/09/2018,106.734,BULLISH,MODERATE,16,HOLD,-0.0292,BEARISH,51.93,False,True,PARTIAL,SENTIMENT_ONLY,BUY,0.6,0.255,Mixed signals and low EMA reliability.,BULLISH,correct
04/10/2018,107.207,BULLISH,MODERATE,12,HOLD,-0.0134,BEARISH,55.82,False,True,PARTIAL,SENTIMENT_ONLY,BUY,0.6,0.255,Mixed signals and low EMA reliability.,BEARISH,incorrect
04/11/2018,106.8,BEARISH,HIGH,21,HOLD,-0.0303,BEARISH,51.92,False,True,PARTIAL,SENTIMENT_ONLY,SELL,-0.6,0.255,Mixed signals and low EMA reliability.,BULLISH,incorrect
04/12/2018,107.249,BULLISH,MODERATE,19,HOLD,-0.0153,BEARISH,55.61,False,True,PARTIAL,SENTIMENT_ONLY,BUY,0.6,0.255,Mixed signals and low EMA reliability.,BULLISH,correct
04/13/2018,107.32,BULLISH,HIGH,20,HOLD,-0.0134,BEARISH,56.18,False,True,PARTIAL,SENTIMENT_ONLY,BUY,0.6,0.255,Mixed signals and low EMA reliability.,BULLISH,correct
